gene,species
Lamb2,gamo_cpg
Qars,gamo_cpg
IMPDH2,gamo_cpg
DALRD3,gamo_cpg
P4htm,gamo_cpg
PRKAR2A,gamo_cpg
ACOX2,gamo_cpg
Fam3d,gamo_cpg
PTPRG,gamo_cpg
CADPS,gamo_cpg
Synpr,gamo_cpg
SNTN,gamo_cpg
ATXN7,gamo_cpg
PRICKLE2,gamo_cpg
ADAMTS9,gamo_cpg
Lrig1,gamo_cpg
KBTBD8,gamo_cpg
SUCLG2,gamo_cpg
FRMD4B,gamo_cpg
Mitf,gamo_cpg
cetA,gamo_cpg
fabG,gamo_cpg
FOXP1,gamo_cpg
Pdzrn3,gamo_cpg
CHL1,gamo_cpg
TRNT1,gamo_cpg
SUMF1,gamo_cpg
ITPR1,gamo_cpg
BHLHE40,gamo_cpg
Lmcd1,gamo_cpg
RAD18,gamo_cpg
SRGAP3,gamo_cpg
IRAK2,gamo_cpg
CAND1,gamo_cpg
Mbd4,gamo_cpg
ift122,gamo_cpg
PLXND1,gamo_cpg
Tmcc1,gamo_cpg
FGD5,gamo_cpg
KCTD16,gamo_cpg
ARHGAP26,gamo_cpg
FGF1,gamo_cpg
HSPA4,gamo_cpg
ADRA1B,gamo_cpg
SLC26A2,gamo_cpg
TRIM25,gamo_cpg
Arhgef37,gamo_cpg
PCYOX1L,gamo_cpg
GRPEL2,gamo_cpg
AFAP1L1,gamo_cpg
SH3TC2,gamo_cpg
STK10,gamo_cpg
ABLIM3,gamo_cpg
NEURL1B,gamo_cpg
CREBRF,gamo_cpg
NKX-2.5,gamo_cpg
STC2,gamo_cpg
CPEB4,gamo_cpg
SFXN1,gamo_cpg
KIF20A,gamo_cpg
Brd8,gamo_cpg
N4BP3,gamo_cpg
SLC34A1,gamo_cpg
GRK6,gamo_cpg
DDX41,gamo_cpg
FAM193B,gamo_cpg
NSD1,gamo_cpg
UIMC1,gamo_cpg
HK2,gamo_cpg
FAF2,gamo_cpg
OIH,gamo_cpg
CLINT1,gamo_cpg
Lsm11,gamo_cpg
Cyfip2,gamo_cpg
Havcr1,gamo_cpg
Gemin5,gamo_cpg
Larp1,gamo_cpg
GALNT10,gamo_cpg
MFAP3,gamo_cpg
G3BP1,gamo_cpg
FAT2,gamo_cpg
SLC36A1,gamo_cpg
Gm2a,gamo_cpg
ANXA6,gamo_cpg
TNIP1,gamo_cpg
RBM22,gamo_cpg
Synpo,gamo_cpg
NDST1,gamo_cpg
ARSI,gamo_cpg
CAMK2B,gamo_cpg
SLC6A7,gamo_cpg
CHOX-CAD1,gamo_cpg
Pdgfrb,gamo_cpg
CSF1R,gamo_cpg
HMGXB3,gamo_cpg
TRIM35,gamo_cpg
FLT4,gamo_cpg
Rnf130,gamo_cpg
TBC1D9B,gamo_cpg
SQSTM1,gamo_cpg
ADAMTS2,gamo_cpg
COL23A1,gamo_cpg
MYOT,gamo_cpg
SPOCK1,gamo_cpg
TRPC7,gamo_cpg
TGFBI,gamo_cpg
SLC25A48,gamo_cpg
SEC24A,gamo_cpg
Sar1b,gamo_cpg
Jade2,gamo_cpg
P4HA2,gamo_cpg
SLC22A4,gamo_cpg
GABRA1,gamo_cpg
Nudcd2,gamo_cpg
HMMR,gamo_cpg
DLC1,gamo_cpg
DOCK2,gamo_cpg
LCP2,gamo_cpg
TLR2,gamo_cpg
ube2d2,gamo_cpg
Psd2,gamo_cpg
SLC4A4,gamo_cpg
ANKHD1,gamo_cpg
APBB3,gamo_cpg
Zmat2,gamo_cpg
PCDH10,gamo_cpg
PCDHGC5,gamo_cpg
HDAC3,gamo_cpg
RELL2,gamo_cpg
Arap3,gamo_cpg
Stard10,gamo_cpg
DELE1,gamo_cpg
PCDH12,gamo_cpg
